Date,Indian rupee (INR)
02-01-1979,1792.85
03-01-1979,1802.15
04-01-1979,1811.74
05-01-1979,1843.57
08-01-1979,1841.33
09-01-1979,1822.52
10-01-1979,1803.5
11-01-1979,1814.57
12-01-1979,1782.62
15-01-1979,1782.01
16-01-1979,1796.52
17-01-1979,1842.06
18-01-1979,1861.74
19-01-1979,1940.75
22-01-1979,1886.87
23-01-1979,1895.37
24-01-1979,1926.08
25-01-1979,1937.79
26-01-1979,1929.26
29-01-1979,1886.95
30-01-1979,1921.57
31-01-1979,1840.82
01-02-1979,1927.14
02-02-1979,1907.37
05-02-1979,1971.85
06-02-1979,1996.78
07-02-1979,2030.96
08-02-1979,2081.04
09-02-1979,2000.87
12-02-1979,2046.37
13-02-1979,2000.6
14-02-1979,1946.67
15-02-1979,2008.3
16-02-1979,2016.69
19-02-1979,2047.39
20-02-1979,2032.39
21-02-1979,2039.17
22-02-1979,2052.67
23-02-1979,2041.96
26-02-1979,2034.48
27-02-1979,2012.67
28-02-1979,2011.68
01-03-1979,2023.86
02-03-1979,2020.48
05-03-1979,1972.05
06-03-1979,1941.23
07-03-1979,1953.97
08-03-1979,1919.78
09-03-1979,1938.05
12-03-1979,1939.69
13-03-1979,1963.4
14-03-1979,1969.91
15-03-1979,1970.06
16-03-1979,1972.92
19-03-1979,2016.94
20-03-1979,1991.55
21-03-1979,1977.71
22-03-1979,1997.98
23-03-1979,1987.49
26-03-1979,1989.92
27-03-1979,2006.21
28-03-1979,1988.91
29-03-1979,1966.02
30-03-1979,1940.16
02-04-1979,1948.09
03-04-1979,1942.59
04-04-1979,1940.84
05-04-1979,1939.47
06-04-1979,1922.7
09-04-1979,1957.59
10-04-1979,1946.32
11-04-1979,1956.22
12-04-1979,1917.55
13-04-1979,1917.55
16-04-1979,1917.55
17-04-1979,1897.5
18-04-1979,1931.54
19-04-1979,1980.31
20-04-1979,1965.59
23-04-1979,1953.91
24-04-1979,1982.11
25-04-1979,2020.73
26-04-1979,2025.1
27-04-1979,2016.6
30-04-1979,2013.1
01-05-1979,2044.71
02-05-1979,2036.12
03-05-1979,2019.55
04-05-1979,2034.54
07-05-1979,2034.54
08-05-1979,2065.99
09-05-1979,2039.57
10-05-1979,2096.63
11-05-1979,2103.3
14-05-1979,2089.98
15-05-1979,2066.64
16-05-1979,2090.69
17-05-1979,2107.23
18-05-1979,2115.46
21-05-1979,2148.92
22-05-1979,2181.38
23-05-1979,2154.46
24-05-1979,2155.38
25-05-1979,2215.71
28-05-1979,2215.71
29-05-1979,2259.99
30-05-1979,2228.63
31-05-1979,2253.41
01-06-1979,2244.73
04-06-1979,2215.48
05-06-1979,2230.97
06-06-1979,2277.73
07-06-1979,2275.69
08-06-1979,2262.95
11-06-1979,2297.86
12-06-1979,2244.19
13-06-1979,2208.46
14-06-1979,2238.78
15-06-1979,2257.8
18-06-1979,2263.05
19-06-1979,2238.92
20-06-1979,2240.93
21-06-1979,2232.8
22-06-1979,2274.3
25-06-1979,2275.74
26-06-1979,2263.2
27-06-1979,2251.79
28-06-1979,2240.68
29-06-1979,2190.55
02-07-1979,2252.74
03-07-1979,2210.03
04-07-1979,2199.33
05-07-1979,2221.23
06-07-1979,2257.97
09-07-1979,2328.72
10-07-1979,2307.18
11-07-1979,2300.81
12-07-1979,2306.77
13-07-1979,2288.56
16-07-1979,2297.37
17-07-1979,2307.73
18-07-1979,2358.62
19-07-1979,2344.43
20-07-1979,2353.48
23-07-1979,2365.21
24-07-1979,2362.5
25-07-1979,2339.04
26-07-1979,2331.01
27-07-1979,2367.26
30-07-1979,2359.38
31-07-1979,2354.14
01-08-1979,2297.66
02-08-1979,2315.2
03-08-1979,2278.14
06-08-1979,2298.31
07-08-1979,2282.56
08-08-1979,2322.34
09-08-1979,2346.46
10-08-1979,2416.06
13-08-1979,2437.15
14-08-1979,2352.55
15-08-1979,2409.82
16-08-1979,2391.36
17-08-1979,2413.45
20-08-1979,2412.18
21-08-1979,2421.64
22-08-1979,2516.31
23-08-1979,2494.21
24-08-1979,2524.93
27-08-1979,2524.93
28-08-1979,2519.07
29-08-1979,2497.1
30-08-1979,2542.15
31-08-1979,2527.65
03-09-1979,2545.31
04-09-1979,2594.12
05-09-1979,2629.23
06-09-1979,2717.47
07-09-1979,2637.19
10-09-1979,2684.61
11-09-1979,2708.36
12-09-1979,2718.2
13-09-1979,2722.74
14-09-1979,2801.74
17-09-1979,2875.37
18-09-1979,3040.16
19-09-1979,3090.12
20-09-1979,3062.96
21-09-1979,3040.67
24-09-1979,3090.1
25-09-1979,3072.22
26-09-1979,2988.2
27-09-1979,3091.55
28-09-1979,3190.26
01-10-1979,3220.04
02-10-1979,3530.13
03-10-1979,3392.3
04-10-1979,3191.91
05-10-1979,2981.63
08-10-1979,3097.68
09-10-1979,3081.95
10-10-1979,3322.83
11-10-1979,3256.38
12-10-1979,3162.82
15-10-1979,3288.68
16-10-1979,3262.31
17-10-1979,3174.26
18-10-1979,3127.18
19-10-1979,3178.34
22-10-1979,3265.93
23-10-1979,3229.49
24-10-1979,3210.33
25-10-1979,3225.43
26-10-1979,3104.35
29-10-1979,3110.71
30-10-1979,3134.04
31-10-1979,3142.6
01-11-1979,3148.67
02-11-1979,3101.88
05-11-1979,3136.91
06-11-1979,3191.56
07-11-1979,3220.25
08-11-1979,3251.29
09-11-1979,3220.07
12-11-1979,3216.62
13-11-1979,3180.05
14-11-1979,3147.85
15-11-1979,3100.85
16-11-1979,3072.23
19-11-1979,3136.8
20-11-1979,3150.63
21-11-1979,3204.94
22-11-1979,3189.66
23-11-1979,3167.58
26-11-1979,3171.99
27-11-1979,3178.67
28-11-1979,3250.59
29-11-1979,3286.54
30-11-1979,3310.29
03-12-1979,3392.28
04-12-1979,3520.03
05-12-1979,3473.04
06-12-1979,3513.05
07-12-1979,3512.48
10-12-1979,3521.22
11-12-1979,3583.37
12-12-1979,3648.78
13-12-1979,3701.55
14-12-1979,3713.98
17-12-1979,3739.68
18-12-1979,3832.28
19-12-1979,3988.04
20-12-1979,3863.07
21-12-1979,3839.08
24-12-1979,3831.69
25-12-1979,3831.69
26-12-1979,3831.69
27-12-1979,4033.71
28-12-1979,4106.49
31-12-1979,4189.64
01-01-1980,4189.64
02-01-1980,4438.86
03-01-1980,5023.01
04-01-1980,4742.19
07-01-1980,4985.1
08-01-1980,4852.79
09-01-1980,4746.35
10-01-1980,4832.57
11-01-1980,4851.16
14-01-1980,5113.87
15-01-1980,5385.81
16-01-1980,6066.57
17-01-1980,5751.92
18-01-1980,6496.22
21-01-1980,6710.04
22-01-1980,6074.46
23-01-1980,5166.88
24-01-1980,5660.96
25-01-1980,5533.18
28-01-1980,5066.12
29-01-1980,5432.16
30-01-1980,5616.57
31-01-1980,5329.61
01-02-1980,5385.32
04-02-1980,5330.72
05-02-1980,5243.79
06-02-1980,5467.27
07-02-1980,5560.17
08-02-1980,5443.78
11-02-1980,5636.62
12-02-1980,5567.6
13-02-1980,5475.31
14-02-1980,5405.72
15-02-1980,5352.19
18-02-1980,5260.19
19-02-1980,5292.9
20-02-1980,4980.62
21-02-1980,5138.4
22-02-1980,5138.14
25-02-1980,4992.86
26-02-1980,5092.09
27-02-1980,5022.32
28-02-1980,5097.43
29-02-1980,5138.08
03-03-1980,5159.64
04-03-1980,5137.15
05-03-1980,5200.39
06-03-1980,5143.98
07-03-1980,4893.18
10-03-1980,4909.16
11-03-1980,4616.08
12-03-1980,4709.74
13-03-1980,4667.46
14-03-1980,4093.85
